nume_actiune,timestamp
adauga_autor,2026-06-03T21:28:57.536991800
adauga_autor,2026-06-03T21:28:57.558334100
adauga_carte,2026-06-03T21:28:57.573372200
adauga_carte,2026-06-03T21:28:57.585097
adauga_cititor,2026-06-03T21:28:57.597927300
adauga_cititor,2026-06-03T21:28:57.609480500
imprumuta_carte,2026-06-03T21:28:57.629008300
afiseaza_imprumuturi_active,2026-06-03T21:28:57.631025800
returneaza_carte,2026-06-03T21:28:57.687192
afiseaza_imprumuturi_active,2026-06-03T21:28:57.688193700
sterge_carte,2026-06-03T21:28:57.709544200
sterge_cititor,2026-06-03T21:28:57.725374200
adauga_autor,2026-06-03T21:45:52.817098100
adauga_autor,2026-06-03T21:45:52.856195800
adauga_carte,2026-06-03T21:45:52.909942400
adauga_cititor,2026-06-03T21:45:52.944203600
afiseaza_imprumuturi_active,2026-06-03T21:45:52.975028
returneaza_carte,2026-06-03T21:45:53.064361600
afiseaza_imprumuturi_active,2026-06-03T21:45:53.066719400
sterge_carte,2026-06-03T21:45:53.091645600
sterge_cititor,2026-06-03T21:45:53.109011100
